Cantidad;Periodo_Cartera;Segmento;Tipo_Cotizante;Grupo_Producto;SEXO;Tipo_Trabajador
19;202112;Alto Valor;Pensionado;CB;Femenino;Independiente
7;202101;Alto Valor;Pensionado;APO + CB;Masculino;Dependiente
1;202107;Alto Valor;Afiliado no Pensionado;AFP_VOL + CB;Masculino;NULL
4;202207;Prime;Pensionado;APO + AFP_VOL + CB + VIDA + PENS;Femenino;Dependiente
77;202106;Prime;Pensionado;CB;Masculino;Dependiente
2;202202;Prime;Pensionado;AFP_VOL + VIDA;Masculino;Independiente
46;202103;Alto Patrimonio;Pensionado;AFP_VOL + CB + PENS;Femenino;Dependiente
4;202205;Alto Patrimonio;Pensionado;AFP_VOL + VIDA;Femenino;Dependiente
25;202102;Rentas Masivas;Pensionado;APO + AFP_VOL + PENS;Masculino;Independiente
1;202110;Alto Valor;Pensionado;VIDA;Femenino;NULL
12;202104;Prime;Pensionado;AFP_VOL;Masculino;NULL
29;202105;Alto Valor;Pensionado;AFP_VOL;Masculino;NULL
2;202111;Alto Valor;Pensionado;CB;Masculino;NULL
1;202111;Prime;Afiliado no Pensionado;VIDA;Masculino;Dependiente
2;202205;Prime;Pensionado;CB + VIDA;Femenino;Independiente
276;202105;Alto Valor;No Cotizante;CB + VIDA;Femenino;NULL
21;202205;Rentas Masivas;Pensionado;CB;Femenino;Independiente
4;202111;Alto Valor;Pensionado;VIDA + PENS;Femenino;Independiente
12;202101;Rentas Masivas;Pensionado;AFP_VOL + CB + PENS;Masculino;Dependiente
1;202111;Rentas Medias;Pensionado;CB + VIDA + PENS;Masculino;Dependiente
374;202202;Prime;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Masculino;Dependiente
50;202106;Prime;Pensionado;AFP_VOL + PENS;Femenino;Independiente
50;202106;Alto Valor;Pensionado;AFP_VOL;Femenino;Independiente
1;202107;Alto Valor;Afiliado no Pensionado;AFP_VOL + VIDA;Femenino;Dependiente
149;202107;Alto Valor;Pensionado;AFP_VOL + PENS;Femenino;Independiente
2;202203;Rentas Medias;Pensionado;APO + VIDA;Femenino;Dependiente
5;202205;Prime;Pensionado;APO + CB;Masculino;Dependiente
120;202205;Alto Patrimonio;No Cotizante;AFP_VOL + CB;Masculino;NULL
6445;202104;Rentas Masivas;Afiliado no Pensionado;APO + AFP_VOL;Masculino;Independiente
4826;202109;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL;Femenino;Independiente
1;202204;Prime;Pensionado;AFP_VOL + CB + VIDA;Masculino;NULL
251;202103;Alto Valor;No Cotizante;AFP_VOL + CB;Masculino;NULL
5;202207;Alto Patrimonio;Afiliado no Pensionado;APO + VIDA;Masculino;Independiente
81175;202104;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL;Masculino;Dependiente
3;202201;Rentas Medias;Afiliado no Pensionado;VIDA;Masculino;Independiente
24;202112;Rentas Medias;Pensionado;APO + AFP_VOL + PENS;Femenino;Independiente
3;202101;Alto Valor;Pensionado;APO + CB + PENS;Femenino;Dependiente
8;202106;Alto Valor;Pensionado;APO + PENS;Masculino;Independiente
29;202111;Rentas Medias;Pensionado;AFP_VOL + CB + PENS;Femenino;Dependiente
10;202205;Rentas Medias;Pensionado;AFP_VOL + CB;Femenino;Independiente
790;202108;Rentas Medias;Pensionado;AFP_VOL + PENS;Femenino;Independiente
301;202202;Rentas Medias;Pensionado;AFP_VOL;Femenino;Independiente
18;202110;Prime;Pensionado;AFP_VOL + CB;Masculino;Independiente
1;202208;Alto Valor;Afiliado no Pensionado;AFP_VOL + CB;Femenino;Independiente
309;202207;Prime;Afiliado no Pensionado;APO + AFP_VOL + CB + VIDA;Masculino;Dependiente
3;202108;Alto Valor;Pensionado;APO + CB + PENS;Femenino;Dependiente
12;202204;Rentas Masivas;Afiliado no Pensionado;AFP_VOL;Masculino;NULL
20;202204;Alto Patrimonio;Pensionado;CB + VIDA;Femenino;Dependiente
1;202208;Prime;Pensionado;APO + CB + VIDA;Masculino;Independiente
736;202201;Rentas Masivas;Pensionado;AFP_VOL;Femenino;Independiente
2;202105;Alto Valor;Pensionado;APO + AFP_VOL + CB + PENS;Femenino;Independiente
4;202111;Rentas Medias;Pensionado;AFP_VOL + CB + VIDA + PENS;Femenino;Dependiente
1;202112;Prime;Afiliado no Pensionado;CB;Femenino;Dependiente
1029;202206;Alto Valor;Afiliado no Pensionado;APO;Masculino;Independiente
1;202204;Alto Valor;Afiliado no Pensionado;CB;Masculino;Independiente
1;202109;Alto Patrimonio;Pensionado;AFP_VOL + VIDA;Masculino;NULL
1;202112;Rentas Masivas;No Cotizante;APO;Masculino;Dependiente
3964;202102;Rentas Masivas;Afiliado no Pensionado;APO + AFP_VOL;Femenino;Independiente
232;202111;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Femenino;Dependiente
80;202208;Alto Valor;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Femenino;Independiente
361;202112;Rentas Masivas;Pensionado;AFP_VOL;Femenino;NULL
7;202208;Alto Patrimonio;Pensionado;APO + AFP_VOL + PENS;Masculino;Independiente
14;202102;Prime;Pensionado;AFP_VOL + CB + PENS;Masculino;Independiente
3;202107;Rentas Medias;Pensionado;APO + CB;Femenino;Dependiente
2;202112;Alto Valor;Pensionado;APO + AFP_VOL + VIDA + PENS;Masculino;Independiente
3;202110;Alto Valor;Pensionado;AFP_VOL + CB + VIDA + PENS;Masculino;Dependiente
15;202208;Alto Patrimonio;Pensionado;VIDA;Femenino;Dependiente
4;202203;Alto Valor;Afiliado no Pensionado;AFP_VOL + CB;Masculino;Independiente
4822;202102;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL;Femenino;Independiente
8;202104;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + CB + VIDA;Masculino;Independiente
127;202205;Alto Valor;Pensionado;APO + AFP_VOL;Femenino;Dependiente
1;202207;Alto Valor;Pensionado;APO + VIDA + PENS;Masculino;Independiente
2;202202;Rentas Masivas;Afiliado no Pensionado;AFP_VOL + PENS;Masculino;Independiente
1079;202105;Alto Valor;Pensionado;AFP_VOL + PENS;Masculino;Dependiente
11;202207;Rentas Medias;Pensionado;CB + VIDA;Masculino;Dependiente
1;202204;Alto Patrimonio;Afiliado no Pensionado;AFP_VOL + CB + VIDA;Masculino;Independiente
629;202108;Rentas Medias;Pensionado;AFP_VOL + PENS;Masculino;Independiente
1;202111;Alto Patrimonio;Pensionado;APO + AFP_VOL;Masculino;Independiente
2;202109;Alto Patrimonio;Pensionado;APO + AFP_VOL;Femenino;Dependiente
3;202104;Rentas Medias;Pensionado;VIDA;Masculino;NULL
19;202102;Alto Patrimonio;No Cotizante;AFP_VOL + CB + VIDA;Femenino;NULL
16;202204;Prime;Pensionado;AFP_VOL + VIDA + PENS;Masculino;Dependiente
5;202108;Alto Patrimonio;Pensionado;VIDA;Masculino;Independiente
17;202201;Prime;Pensionado;AFP_VOL + CB;Masculino;Independiente
2;202109;Rentas Masivas;No Cotizante;AFP_VOL + VIDA;Femenino;NULL
2;202208;Prime;Pensionado;APO + AFP_VOL + CB + PENS;Masculino;Independiente
33078;202109;Rentas Masivas;Afiliado no Pensionado;APO;Femenino;Independiente
262;202111;Alto Patrimonio;No Cotizante;VIDA;Masculino;NULL
11;202109;Rentas Medias;Pensionado;AFP_VOL + VIDA + PENS;Masculino;Dependiente
1;202106;Rentas Medias;Pensionado;APO + VIDA + PENS;Masculino;Dependiente
1132;202103;Alto Patrimonio;No Cotizante;CB;Masculino;NULL
1;202104;Rentas Masivas;Afiliado no Pensionado;AFP_VOL + PENS;Masculino;Independiente
2;202202;Rentas Medias;Pensionado;AFP_VOL + CB + VIDA;Masculino;Dependiente
35;202207;Alto Valor;No Cotizante;AFP_VOL + CB + VIDA;Femenino;NULL
10;202201;Prime;Afiliado no Pensionado;AFP_VOL;Masculino;Dependiente
1;202205;Prime;Afiliado no Pensionado;AFP_VOL;Masculino;NULL
4;202101;Alto Patrimonio;Pensionado;AFP_VOL + CB + PENS;Femenino;Independiente
1;202207;Alto Patrimonio;Pensionado;APO + CB + VIDA;Femenino;Independiente
37;202202;Alto Patrimonio;Afiliado no Pensionado;APO + CB;Masculino;Independiente
7;202102;Rentas Masivas;Afiliado no Pensionado;AFP_VOL;Masculino;NULL
